i,v1,v2,v3,v4,v5,v6,ii,iii,avr,avl,avf
3.3398824,4.0316195,3.137085,3.0012817,2.833278,2.4126158,3.798469,552.0,548.6601176261902,-277.6699411869049,-272.6601176261902,550.3300588130951
3.3219519,4.0316806,3.1373734,2.9917026,2.8332777,2.4128978,3.7984715,553.0,549.6780481338501,-278.16097593307495,-273.1780481338501,551.339024066925
3.3403692,4.028191,3.137178,3.0004287,2.8332777,2.4006827,3.798473,553.0,549.6596307754517,-278.17018461227417,-273.15963077545166,551.3298153877258
3.334239,4.02482,3.1373138,3.0043948,2.8332777,2.4006817,3.7984726,552.0,548.6657609939575,-277.66711950302124,-272.6657609939575,550.3328804969788
3.342202,4.0293202,3.1370661,2.9953046,2.8332777,2.4006817,3.7984726,551.0,547.6577980518341,-277.17110097408295,-272.1577980518341,549.328899025917
3.3125033,4.0282464,3.1370664,2.9983141,2.8332777,2.4006815,3.7984726,545.0,541.6874966621399,-274.15625166893005,-269.1874966621399,543.34374833107
3.3219028,4.0208726,3.1370506,3.0007443,2.8334544,2.4006817,3.798472,541.0,537.6780972480774,-272.1609513759613,-267.1780972480774,539.3390486240387
3.3232875,4.0111365,3.1370597,3.0015123,2.8332777,2.4006822,3.7984636,535.0,531.67671251297,-269.161643743515,-264.17671251296997,533.338356256485
3.3279002,4.005999,3.1370454,2.9922843,2.8332777,2.400683,3.7984617,530.0,526.6720998287201,-266.66395008563995,-261.6720998287201,528.33604991436
3.3673973,4.0094934,3.1370554,2.9899554,2.8332777,2.4006815,3.7984347,526.0,522.6326026916504,-264.6836986541748,-259.6326026916504,524.3163013458252
3.3260946,4.0117135,3.1370447,2.9422345,2.8332777,2.4006815,3.7984366,523.0,519.6739053726196,-263.1630473136902,-258.17390537261963,521.3369526863098
3.3519597,4.012023,3.1370451,2.8582757,2.8332777,2.4006815,3.798394,521.0,517.6480402946472,-262.1759798526764,-257.1480402946472,519.3240201473236
3.2978387,4.012045,3.1370432,2.8345852,2.833278,2.4006815,3.7983167,520.0,516.7021613121033,-261.64891934394836,-256.70216131210327,518.3510806560516
3.2964966,4.012048,3.1370413,2.8245351,2.8332782,2.4006815,3.7981324,519.0,515.703503370285,-261.1482483148575,-256.20350337028503,517.3517516851425
3.2925408,4.0120153,3.137041,2.828938,2.8333023,2.4006817,3.7976289,518.0,514.7074592113495,-260.64627039432526,-255.7074592113495,516.3537296056747
3.2966475,4.0120254,3.1370492,2.843547,2.8332858,2.40065,3.7975395,518.0,514.7033524513245,-260.64832377433777,-255.70335245132446,516.3516762256622
3.299187,4.0120115,3.1370432,2.843113,2.8332803,2.399674,3.796497,517.0,513.7008130550385,-260.1495934724808,-255.20081305503845,515.3504065275192
3.3108287,4.01191,3.1370528,2.8613498,2.8332865,2.3804011,3.797582,516.0,512.6891713142395,-259.65541434288025,-254.6891713142395,514.3445856571198
3.3095748,4.0118732,3.137041,2.8567114,2.8332808,2.3520987,3.7995837,516.0,512.690425157547,-259.6547874212265,-254.690425157547,514.3452125787735
3.3079417,4.011557,3.1370416,2.8810005,2.8332787,2.3570619,3.7966306,516.0,512.6920583248138,-259.6539708375931,-254.69205832481384,514.3460291624069
3.3079963,4.0116286,3.1370406,2.8742926,2.8332787,2.352975,3.7916157,518.0,514.6920037269592,-260.6539981365204,-255.69200372695923,516.3460018634796
3.3073092,4.0117464,3.1370409,2.9052174,2.8332782,2.3902593,3.782336,515.0,511.6926908493042,-259.1536545753479,-254.1926908493042,513.3463454246521
3.3057933,4.011528,3.1370401,2.891922,2.8332813,2.364047,3.7196598,516.0,512.6942067146301,-259.65289664268494,-254.69420671463013,514.3471033573151
3.3066187,4.0118065,3.1370487,2.9414697,2.833278,2.3832746,3.6530054,515.0,511.6933813095093,-259.15330934524536,-254.19338130950928,513.3466906547546
3.3044515,4.012034,3.137041,2.9775872,2.833278,2.3849783,3.6381397,515.0,511.6955485343933,-259.15222573280334,-254.1955485343933,513.3477742671967
3.3108075,4.0127006,3.1370482,2.9541779,2.833278,2.398753,3.6539114,517.0,513.689192533493,-260.1554037332535,-255.18919253349304,515.3445962667465
3.3104527,4.0133543,3.1370335,2.9912844,2.833278,2.3989718,3.668675,516.0,512.6895473003387,-259.6552263498306,-254.68954730033875,514.3447736501694
3.310216,4.0141835,3.1370296,2.9538126,2.833278,2.400592,3.7477782,516.0,512.6897840499878,-259.6551079750061,-254.6897840499878,514.3448920249939
3.3103766,4.014127,3.1370294,2.9532135,2.833278,2.4006567,3.7766805,516.0,512.6896233558655,-259.65518832206726,-254.68962335586548,514.3448116779327
3.3091104,4.0122113,3.1370246,2.955439,2.8332784,2.4006817,3.794329,516.0,512.6908895969391,-259.65455520153046,-254.6908895969391,514.3454447984695
3.3101084,4.0165997,3.1370337,2.96423,2.8332787,2.400683,3.7960794,518.0,514.689891576767,-260.6550542116165,-255.68989157676697,516.3449457883835
3.3101573,4.0138564,3.1370418,2.9712744,2.833278,2.4006827,3.7983072,516.0,512.6898427009583,-259.6550786495209,-254.68984270095825,514.3449213504791
3.3116798,4.016561,3.1370401,2.9313817,2.8332787,2.400683,3.7983985,517.0,513.6883201599121,-260.15583992004395,-255.1883201599121,515.344160079956
3.3239927,4.0166926,3.1370516,2.9062572,2.8332798,2.4006824,3.7984023,517.0,513.676007270813,-260.1619963645935,-255.176007270813,515.3380036354065
3.3134284,4.0129275,3.1370406,2.9011164,2.8332787,2.4006824,3.7983718,517.0,513.686571598053,-260.1567142009735,-255.18657159805298,515.3432857990265
3.3116686,4.017597,3.1370413,2.8395033,2.833278,2.4006824,3.7984102,517.0,513.6883313655853,-260.15583431720734,-255.18833136558533,515.3441656827927
3.3132823,4.0137963,3.1370406,2.8465729,2.833278,2.4006817,3.798416,517.0,513.686717748642,-260.156641125679,-255.18671774864197,515.343358874321
